Word           Stemmed        Lemmatized     
---------------------------------------------
DOMAIN         domain         domain         
NEWS           news           news           
globalCOVID    globalcovid    globalcovid    
pandemic       pandem         pandemic       
also           also           also           
known          known          known          
thecoronavirus thecoronaviru  thecoronavirus 
pandemic       pandem         pandemic       
,              ,              ,              
caused         caus           caused         
severe         sever          severe         
acute          acut           acute          
respiratory    respiratori    respiratory    
syndrome       syndrom        syndrome       
coronavirus    coronaviru     coronavirus    
SARS           sar            sars           
CoV            cov            cov            
,              ,              ,              
began          began          began          
outbreak       outbreak       outbreak       
inWuhan        inwuhan        inwuhan        
,              ,              ,              
China          china          china          
,              ,              ,              
December       decemb         december       
.              .              .              
spread         spread         spread         
parts          part           part           
Asia           asia           asia           
andthen        andthen        andthen        
worldwidein    worldwidein    worldwidein    
early          earli          early          
.              .              .              
TheWorld       theworld       theworld       
Health         health         health         
Organization   organ          organization   
declared       declar         declared       
outbreak       outbreak       outbreak       
apublic        apubl          apublic        
health         health         health         
